Grade,Subject,Category,Unit,Standard Code,Standard Description,Internet Resources,Apps,Videos
7,Math,,The Number System,MCC7.NS.2.b,"Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number. If p and q are integers then –(p/q) = (-p)/q = p/(-q). Interpret quotients of rational numbers by describing real-world contexts.",http://www.khanacademy.org/math/arithmetic/absolute-value/mult_div_negatives/v/dividing-positive-and-negative-numbers,https://itunes.apple.com/us/app/middle-school-math-hd/id439682332?mt=8,
7,Math,,The Number System,MCC7.NS.2.c,Apply properties of operations as strategies to multiply and divide rational numbers.,http://learnzillion.com/lessons/701-solve-multiplication-problems-using-the-commutative-and-associative-properties,https://itunes.apple.com/us/app/integer/id429139222?mt=8,
7,Math,,The Number System,MCC7.NS.2.c,Apply properties of operations as strategies to multiply and divide rational numbers.,http://learnzillion.com/lessons/1420-rewrite-problems-with-rational-numbers-using-different-properties-of-multiplication-and-division,https://itunes.apple.com/us/app/properties-of-real-no/id651386994?mt=8,
7,Math,,The Number System,MCC7.NS.2.d,Convert a rational number to a decimal using long division; know that the decimal form of a rational number terminates in 0s or eventually repeats.,http://learnzillion.com/lessons/713-rewrite-fractions-as-decimals-terminating,https://itunes.apple.com/us/app/integer/id429139222?mt=8,
7,Math,,The Number System,MCC7.NS.2.d,Convert a rational number to a decimal using long division; know that the decimal form of a rational number terminates in 0s or eventually repeats.,http://www.khanacademy.org/math/arithmetic/fractions/decimals_fractions/v/converting-fractions-to-decimals-example,https://itunes.apple.com/us/app/properties-of-real-no/id651386994?mt=8,
7,Math,,The Number System,MCC7.NS.3 ,Solve real-world and mathematical problems involving the four operations with rational numbers.,http://illuminations.nctm.org/LessonDetail.aspx?id=L849,https://itunes.apple.com/us/app/integer/id429139222?mt=8,
7,Math,,The Number System,MCC7.NS.3 ,Solve real-world and mathematical problems involving the four operations with rational numbers.,http://learnzillion.com/lessons/1151-use-addition-and-subtraction-to-solve-realworld-problems-involving-fractions,https://itunes.apple.com/us/app/properties-of-real-no/id651386994?mt=8,
7,Math,,Expressions and Equations,MCC7.EE.1 ,"Apply properties of operations as strategies to add, subtract, factor, and expand linear expressions with rational coefficients.",http://learnzillion.com/lessons/1125-add-linear-expressions-by-combining-like-terms,https://itunes.apple.com/us/app/algebra-touch/id384354262?mt=8,
7,Math,,Expressions and Equations,MCC7.EE.1 ,"Apply properties of operations as strategies to add, subtract, factor, and expand linear expressions with rational coefficients.",http://learnzillion.com/lessons/1127-expand-linear-expressions-with-fractions-using-the-distributive-property,https://itunes.apple.com/us/app/grade-7-!!!/id537306247?mt=8,
7,Math,,Expressions and Equations,MCC7.EE.2 ,Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related.,http://learnzillion.com/lessons/815-rewrite-an-expression-by-expanding-it,https://itunes.apple.com/us/app/algebra-touch/id384354262?mt=8,
7,Math,,Expressions and Equations,MCC7.EE.2 ,Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related.,http://learnzillion.com/lessons/816-identify-equivalent-expressions-using-substitution,https://itunes.apple.com/us/app/grade-7-!!!/id537306247?mt=8,
7,Math,,Expressions and Equations,MCC7.EE.3 ,"Solve mutli-step real-life and mathematical problems posed with positive and negative rational numbers in any form (whole numbers, fractions, and decimals), using tools strategically. Apply properties of operations as strategies to calculate with numbers in any form; convert between forms as appropriate; and assess the reasonableness of answers using mental computation and estimations strategies.",http://learnzillion.com/lessons/991-solve-multistep-problems-by-creating-diagrams,https://itunes.apple.com/us/app/algebra/id406783021?mt=8,
7,Math,,Expressions and Equations,MCC7.EE.3 ,"Solve mutli-step real-life and mathematical problems posed with positive and negative rational numbers in any form (whole numbers, fractions, and decimals), using tools strategically. Apply properties of operations as strategies to calculate with numbers in any form; convert between forms as appropriate; and assess the reasonableness of answers using mental computation and estimations strategies.",http://learnzillion.com/lessons/990-solve-multistep-problems-using-order-of-operations,https://itunes.apple.com/us/app/algebra/id406783021?mt=8,
7,Math,,Expressions and Equations,MCC7.EE.4,"Use variables to represent quantities in real-world or mathematical problem, and construct simple equations and inequalities to solve problems by reasoning about the quantities.",,,
7,Math,,Expressions and Equations,MCC7.EE.4.a,"Solve world problems leading to equations of the form px + q = r and p(x + q) = r, where p, q, and r are specific rational numbers. Solve equations of these fluently. Compare an algebraic solution to an arithmetic solution, identifying the sequence of the operations used in each approach.",http://www.khanacademy.org/math/algebra/solving-linear-equations-and-inequalities/why-of-algebra/v/why-we-do-the-same--thing-to-both-sides--two-step-equations,HMH Math on the SpotAlgebra,
7,Math,,Expressions and Equations,MCC7.EE.4.a,"Solve world problems leading to equations of the form px + q = r and p(x + q) = r, where p, q, and r are specific rational numbers. Solve equations of these fluently. Compare an algebraic solution to an arithmetic solution, identifying the sequence of the operations used in each approach.",http://www.khanacademy.org/math/algebra/solving-linear-equations-and-inequalities/equations_beginner/v/equations-2,HMH Math on the SpotAlgebra,
7,Math,,Expressions and Equations,MCC7.EE.4.b,"Solve world problems leading to inequalities of the form px + q > r and px + q < r, where p, q, and r are specific rational numbers. Graph the solution set of the inequality to interpret it in the context of the problem.",http://learnzillion.com/lessons/1661-solve-inequalities-with-inverse-operations,https://itunes.apple.com/us/app/algebra-touch/id384354262?mt=8,
7,Math,,Expressions and Equations,MCC7.EE.4.b,"Solve world problems leading to inequalities of the form px + q > r and px + q < r, where p, q, and r are specific rational numbers. Graph the solution set of the inequality to interpret it in the context of the problem.",http://learnzillion.com/lessons/1660-write-an-inequality-from-a-word-problem,https://itunes.apple.com/us/app/algebra-touch/id384354262?mt=8,
7,Math,,Geometry,MCC7.G.1 ,"Solve problem involving scale drawings of geometric figures, including computing actual lengths and areas from a scale drawing and reproducing a scale drawing at a different scale.",http://learnzillion.com/lessons/1130-find-a-length-by-using-a-scale-factor-and-a-proportion,https://itunes.apple.com/us/app/geometry-pad/id517461177?mt=8,
7,Math,,Geometry,MCC7.G.1 ,"Solve problem involving scale drawings of geometric figures, including computing actual lengths and areas from a scale drawing and reproducing a scale drawing at a different scale.",http://learnzillion.com/lessons/1133-make-a-new-scale-drawing-from-a-given-one,https://itunes.apple.com/us/app/geometry-pad/id517461177?mt=8,
7,Math,,Geometry,MCC7.G.2 ,"Draw geometric shapes with given conditions. Focus on constructing triangles from three measures of angles or sides, noticing when the conditions determine a unique triangle, more than one triangle, or no triangle.",http://learnzillion.com/lessons/1070-draw-triangles-using-given-angles,https://itunes.apple.com/us/app/geometry-pad/id517461177?mt=8,
7,Math,,Geometry,MCC7.G.2 ,"Draw geometric shapes with given conditions. Focus on constructing triangles from three measures of angles or sides, noticing when the conditions determine a unique triangle, more than one triangle, or no triangle.",http://learnzillion.com/lessons/1069-draw-geometric-shapes-given-the-length-of-sides,https://itunes.apple.com/us/app/geometry-pad/id517461177?mt=8,
7,Math,,Geometry,MCC7.G.3 ,"Describe the two-dimensional figures that result from slicing three-dimensional figures, as in plane sections of a right rectangular prisms and right rectangular pyramids.",http://learnzillion.com/lessons/1135-describe-2dimensional-cross-sections-of-right-rectangular-pyramids,https://itunes.apple.com/us/app/geometry-2d/id441907476?mt=8,
7,Math,,Geometry,MCC7.G.3 ,"Describe the two-dimensional figures that result from slicing three-dimensional figures, as in plane sections of a right rectangular prisms and right rectangular pyramids.",http://learnzillion.com/lessons/1134-describe-2dimensional-cross-sections-of-right-rectangular-prisms,https://itunes.apple.com/us/app/geometry-2d/id441907476?mt=8,
7,Math,,Geometry,MCC7.G.4 ,Know the formulas for the area and circumference of a circle and use them to solve problems; give an informal derivation of the relationship between the circumference and area of a circle.,http://www.khanacademy.org/math/geometry/circles/v/area-of-a-circle,https://itunes.apple.com/us/app/geometry-!!!/id521563872?mt=8,
7,Math,,Geometry,MCC7.G.4 ,Know the formulas for the area and circumference of a circle and use them to solve problems; give an informal derivation of the relationship between the circumference and area of a circle.,http://www.khanacademy.org/math/geometry/circles/v/circles--radius--diameter-and-circumference,https://itunes.apple.com/us/app/geometry-!!!/id521563872?mt=8,
7,Math,,Geometry,MCC7.G.5 ,"Use facts about supplementary, complementary, vertical, and adjacent angles in a multi-step problem to write and solve simple equations for an unknown angle in a figure.",http://www.khanacademy.org/math/geometry/parallel-and-perpendicular-lines/Angle_basics/v/complementary-and-supplementary-angles,https://itunes.apple.com/us/app/sum-exterior-angles-polygons/id435881287?mt=8,
7,Math,,Geometry,MCC7.G.5 ,"Use facts about supplementary, complementary, vertical, and adjacent angles in a multi-step problem to write and solve simple equations for an unknown angle in a figure.",http://www.khanacademy.org/math/geometry/parallel-and-perpendicular-lines/ang_intro/v/angles-at-the-intersection-of-two-lines,https://itunes.apple.com/us/app/geometry-!!!/id521563872?mt=8,
7,Math,,Geometry,MCC7.G.6 ,"Solve real-world and mathematical problems involving area, volume, and surface area of two- and three-dimensional objects composed of triangles, quadrilaterals, polygons, cubes, and right prisms.",N/A,https://itunes.apple.com/us/app/geometry-!!!/id521563872?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.1 ,Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that random sampling tends to produce representative samples and support valid inferences.,http://learnzillion.com/lessons/1844-identify-a-random-sample,https://itunes.apple.com/us/app/probability./id647212333?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.1 ,Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that random sampling tends to produce representative samples and support valid inferences.,http://learnzillion.com/lessons/1846-generate-a-representative-sample,https://itunes.apple.com/us/app/probability./id647212333?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.2 ,Use data from a random sample to draw inferences about a population with an unknown characteristic of interest. Generate multiple samples of the same size to gauge the variation in estimates of predictions.,http://learnzillion.com/lessons/1848-make-inferences-about-a-population-by-analyzing-random-samples,https://itunes.apple.com/us/app/probability./id647212333?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.2 ,Use data from a random sample to draw inferences about a population with an unknown characteristic of interest. Generate multiple samples of the same size to gauge the variation in estimates of predictions.,http://learnzillion.com/lessons/1850-assess-whether-an-inference-is-valid-by-analyzing-data,https://itunes.apple.com/us/app/elevated-math/id435995971?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.3 ,"Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability.",N/A,N/A,
7,Math,,Statistics and Probability,MCC7.SP.4 ,Use measures of center and variability for numerical data from random samples to draw informal comparative inferences about two populations.,http://learnzillion.com/lessons/1445-compare-inferences-using-the-mean,https://itunes.apple.com/us/app/probability./id647212333?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.4 ,Use measures of center and variability for numerical data from random samples to draw informal comparative inferences about two populations.,http://learnzillion.com/lessons/1450-compare-two-populations-using-the-median,https://itunes.apple.com/us/app/probability./id647212333?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.5 ,"Understand that probability of a chance event is a number between 0 and 1 that expresses the likelihood of the vent occurring. Large numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around ½ indicates an event that is neither unlikely or likely, and a probability near 1 indicates a likely event.",http://illuminations.nctm.org/LessonDetail.aspx?ID=L299,https://itunes.apple.com/us/app/the-probability-tutor/id513229941?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.5 ,"Understand that probability of a chance event is a number between 0 and 1 that expresses the likelihood of the vent occurring. Large numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around ½ indicates an event that is neither unlikely or likely, and a probability near 1 indicates a likely event.",http://illuminations.nctm.org/LessonDetail.aspx?ID=L565,https://itunes.apple.com/us/app/mathspace/id586612052?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.6 ,"Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability.",http://sciencenetlinks.com/afterschool-resources/marble-mania/,https://itunes.apple.com/us/app/probability-pro/id345326062?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.6 ,"Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability.",http://illuminations.nctm.org/LessonDetail.aspx?ID=L377,https://itunes.apple.com/us/app/probability-tools/id544340525?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.7 ,"Develop a probability model and use it to find probabilities of events. Compare probabilities from a model to observed frequencies; if the agreement is not good, explain possible sources of discrepancy.",,,
7,Math,,Statistics and Probability,MCC7.SP.7.a ,"Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events.",http://learnzillion.com/lessons/1586-analyze-the-probability-of-an-event-by-assigning-equal-probability-to-all-outcomes,https://itunes.apple.com/us/app/probability-tools/id544340525?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.7.a ,"Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events.",http://learnzillion.com/lessons/1587-find-the-probability-of-events-with-multiple-possibilities,Word Problems Math,
7,Math,,Statistics and Probability,MCC7.SP.7.b ,Develop a probability model by observing frequencies in data generated from a chance process.,http://learnzillion.com/lessons/1588-understand-the-law-of-large-numbers-by-comparing-experimental-results-to-the-theoretical-probability,https://itunes.apple.com/us/app/probability./id647212333?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.7.b ,Develop a probability model by observing frequencies in data generated from a chance process.,http://learnzillion.com/lessons/1589-explain-discrepancies-in-results-from-a-probability-model-by-comparing-the-experimental-and-theoretical-probabilities,https://itunes.apple.com/us/app/probability./id647212333?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.8 ,"Find probabilities of compound events using organized lists, tables, tree diagrams, and simulation.",,,
7,Math,,Statistics and Probability,MCC7.SP.8.a ,"Understand that, just as with simple events, the probability of a compound event is the fraction of outcomes in the sample space for which compound event occurs.",http://www.khanacademy.org/math/probability/independent-dependent-probability/independent_events/v/compound-probability-of-independent-events,https://itunes.apple.com/us/app/statistics-!!!/id521563656?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.8.a ,"Understand that, just as with simple events, the probability of a compound event is the fraction of outcomes in the sample space for which compound event occurs.",http://learnzillion.com/lessons/1859-analyze-independent-and-dependent-events,https://itunes.apple.com/us/app/probability./id647212333?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.8.b ,"Represent sample spaces for compound events using methods such as organized lists, tables, and tree diagrams. For an event described in everyday language, identify the outcomes in the sample space which compose the event.",http://learnzillion.com/lessons/1860-find-the-probability-of-a-compound-event-by-creating-an-organized-list,https://itunes.apple.com/us/app/diagram-creator/id492864277?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.8.b ,"Represent sample spaces for compound events using methods such as organized lists, tables, and tree diagrams. For an event described in everyday language, identify the outcomes in the sample space which compose the event.",http://learnzillion.com/lessons/1861-find-the-probability-of-a-compound-event-by-creating-a-tree-diagram,https://itunes.apple.com/us/app/probability-pro/id345326062?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.8.c ,Design and use a simulation to generate frequencies for compound events.,http://learnzillion.com/lessons/1863-use-the-fundamental-counting-principle-to-find-the-total-number-of-possible-combinations,https://itunes.apple.com/us/app/probability-tools/id544340525?mt=8,
7,Math,,Statistics and Probability,MCC7.SP.8.c ,Design and use a simulation to generate frequencies for compound events.,,,
7,Social Studies,Africa,Geographic Understandings,SS7G1,The student will locate selected features of Africa.,,,
7,Social Studies,Africa,Geographic Understandings,SS7G1.a,"Locate on a world and regional political-physical map: the Sahara, Sahel, savanna, tropical rain forest, Congo River, Niger River, Nile River, Lake Tanganyika, Lake Victoria, Atlas Mountains, and Kalahari Desert.",http://www.sheppardsoftware.com/African_Geography.htm,http://geography.about.com/od/geographicproducts/tp/Geography-And-Map-Apps-For-Iphone.htm,http://app.discoveryeducation.com/search?Ntt=geography+africa
7,Social Studies,Africa,Geographic Understandings,SS7G1.b,"Locate on a world and regional political-physical map the countries of Democratic Republic of the Congo (Zaire), Egypt, Kenya, Nigeria, South Africa, Sudan, and South Sudan.",http://www.lizardpoint.com/fun/geoquiz/afrquiz.html,http://www.nationalgeographic.com/ipad/,http://app.discoveryeducation.com/search?Ntt=geography+africa
7,Social Studies,Africa,Geographic Understandings,SS7G2,The student will discuss environmental issues across the continent of Africa.,,,
7,Social Studies,Africa,Geographic Understandings,SS7G2.a,"Explain how water pollution and the unequal distribution of water impacts irrigation, trade, industry, and drinking water.",http://library.thinkquest.org/26026/World_Outlook/africa_-_major_water_problems.html,,http://app.discoveryeducation.com/search?Ntt=africa+water
7,Social Studies,Africa,Geographic Understandings,SS7G2.b,Explain the relationship between poor soil and deforestation in Sub-Saharan Africa.,,,
7,Social Studies,Africa,Geographic Understandings,SS7G2.c,"Explain the impact of desertification on the environment of Africa from the Sahel to the
rainforest.Crow laws and customs.",http://www.pbs.org/wnet/africa/explore/rainforest/rainforest_overview_lo.html,,http://app.discoveryeducation.com/search?Ntt=water+africa
7,Social Studies,Africa,Geographic Understandings,SS7G3," The student will explain the impact of location, climate, and physical characteristics on population distribution in Africa.",,,
7,Social Studies,Africa,Geographic Understandings,SS7G3.a,"Explain how the characteristics in the Sahara, Sahel, savanna, and tropical rain forest affect where people live, the type of work they do, and how they travel. ",http://interesting-africa-facts.com/Africa-Landforms/African-Savanna-Grasslands.html,https://itunes.apple.com/us/app/geoworld-learn-geography-while/id558493313?l=fr&ls=1&mt=8,http://app.discoveryeducation.com/search?Ntt=savavanna+africa#Ntt=savannah%20africa&Ntk=All
7,Social Studies,Africa,Geographic Understandings,SS7G4,The student will describe the diverse cultures of the people who live in Africa. ,,,
